aUrlId,pId,aId,aName
3351698,p2120,a8901,T. Reguly
3351698,p2199,a8901,T. Reguly
3351698,p2202,a8901,T. Reguly
3351698,p2260,a8901,T. Reguly
3351698,p2403,a8901,T. Reguly
39838060,p2120,a8902,Julie Nixon
39838060,p2199,a8902,Julie Nixon
39838060,p2202,a8902,Julie Nixon
39838060,p2260,a8902,Julie Nixon
38200115,p2120,a8903,Lindsay Ramage
38200115,p2199,a8903,Lindsay Ramage
38200115,p2202,a8903,Lindsay Ramage
144358067,p2120,a8904,Andrew G. Winter
144358067,p2199,a8904,Andrew G. Winter
144358067,p2202,a8904,Andrew G. Winter
144358067,p2260,a8904,Andrew G. Winter
2900468,p2120,a8905,J. Hirschman
2900468,p2145,a8905,J. Hirschman
2900468,p2162,a8905,J. Hirschman
2292226,p2120,a8906,M. Livstone
2292226,p2199,a8906,M. Livstone
2292226,p2202,a8906,M. Livstone
2292226,p2260,a8906,M. Livstone
2292226,p2403,a8906,M. Livstone
144927590,p2121,a8907,W. Bramer
3744766,p2121,a8908,M. Rethlefsen
145350044,p2121,a8909,J. Kleijnen
2552311,p2121,a8910,O. Franco
2243939,p2122,a8911,S. Armato
144806658,p2122,a8912,G. McLennan
47383212,p2122,a8913,L. Bidaut
1395643807,p2122,a8914,M. McNitt-Gray
122669351,p2122,a8915,C. Meyer
2413119,p2122,a8916,A. Reeves
9445492,p2122,a8917,Binsheng Zhao
1757838,p2122,a8918,D. Aberle
3102256,p2122,a8919,C. Henschke
144370106,p2122,a8920,E. Hoffman
3044705,p2122,a8921,E. Kazerooni
144184829,p2122,a8922,H. MacMahon
1412392862,p2122,a8923,Edwin J R Van Beeke
2009742,p2122,a8924,D. Yankelevitz
2507065,p2122,a8925,A. Biancardi
2191489,p2122,a8926,P. Bland
2215505902,p2122,a8927,Matthew S. Brown
49550511,p2122,a8928,R. Engelmann
11484311,p2122,a8929,G. Laderach
40214526,p2122,a8930,Daniel Max
32500688,p2122,a8931,Richard C. Pais
34997989,p2122,a8932,D. Qing
13130848,p2122,a8933,R. Roberts
2157417321,p2122,a8934,A. R. Smith
144913011,p2122,a8935,A. Starkey
1416271529,p2122,a8936,Poonam Batrah
40186633,p2122,a8937,P. Caligiuri
16106431,p2122,a8938,Ali O. Farooqi
2243576,p2122,a8939,G. Gladish
13132463,p2122,a8940,C. Jude
6211859,p2122,a8941,R. Munden
5592236,p2122,a8942,I. Petkovska
2752301,p2122,a8943,L. Quint
35802562,p2122,a8944,L. Schwartz
145784469,p2122,a8945,B. Sundaram
3227661,p2122,a8946,L. Dodd
97874963,p2122,a8947,C. Fenimore
2105995,p2122,a8948,D. Gur
1719082,p2122,a8949,N. Petrick
37845261,p2122,a8950,J. Freymann
40078837,p2122,a8951,J. Kirby
2080429633,p2122,a8952,Brian Hughes
1416277687,p2122,a8953,Alessi Vande Casteele
47925758,p2122,a8954,S. Gupte
1412384769,p2122,a8955,Maha Sallamm
2065390366,p2122,a8956,Michael Heath
153784728,p2122,a8957,M. Kuhn
47449470,p2122,a8958,E. Dharaiya
2068061202,p2122,a8959,Richard Burns
1400603622,p2122,a8960,David Fryd
1952931,p2122,a8961,M. Salganicoff
2067184766,p2122,a8962,V. Anand
92224067,p2122,a8963,U. Shreter
14513338,p2122,a8964,S. Vastagh
2481112,p2122,a8965,B. Croft
5869938,p2123,a8966,Petar Glažar
40498963,p2123,a8967,P. Papavasileiou
1807951,p2123,a8968,N. Rajewsky
2673957,p2124,a8969,L. Salwínski
2673957,p2177,a8969,L. Salwínski
2673957,p2273,a8969,L. Salwínski
2673957,p2349,a8969,L. Salwínski
144179211,p2124,a8970,ChristopherA. Miller
48961795,p2124,a8971,Adam J. Smith
38950838,p2124,a8972,F. K. Pettit
2606875,p2124,a8973,J. Bowie
38945464,p2125,a8974,J. Greenbaum
38945464,p2315,a8974,J. Greenbaum
38945464,p2380,a8974,J. Greenbaum
2265893,p2125,a8975,J. Ponomarenko
2265893,p2315,a8975,J. Ponomarenko
38070012,p2126,a8976,D. Tzur
36093977,p2126,a8977,N. Young
2053696560,p2126,a8978,D. Cheng
144927979,p2126,a8979,K. Jewell
48011347,p2126,a8980,S. Sawhney
40483582,p2126,a8981,Chris Fung
3113420,p2126,a8982,Lisa Nikolai
2117279482,p2126,a8983,Mike Lewis
2908470,p2126,a8984,M. Coutouly
46933596,p2126,a8985,I. Forsythe
2053106889,p2126,a8986,Peter Tang
2443163,p2126,a8987,Kevin Jeroncic
2570717,p2126,a8988,G. Amegbey
39583294,p2126,a8989,D. Hau
145025878,p2126,a8990,James R. Wagner
