aUrlId,pId,aId,aName
34566811,p2437,a8421,N. Fedorova
47785928,p2047,a8422,A. R. Jacobs
47785928,p2437,a8422,A. R. Jacobs
2853905,p2047,a8423,B. Kiryutin
2853905,p2189,a8423,B. Kiryutin
2967695,p2047,a8424,E. Koonin
2967695,p2055,a8424,E. Koonin
2967695,p2189,a8424,E. Koonin
46698699,p2047,a8425,D. M. Krylov
145453857,p2047,a8426,R. Mazumder
145453857,p2437,a8426,R. Mazumder
2439338,p2047,a8427,S. Mekhedov
7932476,p2047,a8428,A. Nikolskaya
7932476,p2437,a8428,A. Nikolskaya
7932476,p2467,a8428,A. Nikolskaya
145825502,p2047,a8429,B. S. Rao
145825502,p2189,a8429,B. S. Rao
145825502,p2437,a8429,B. S. Rao
2059254305,p2047,a8430,S. Smirnov
3198118,p2047,a8431,A. Sverdlov
3181036,p2047,a8432,S. Vasudevan
3181036,p2437,a8432,S. Vasudevan
2245561,p2047,a8433,Y. Wolf
2074610,p2047,a8434,J. Yin
2074610,p2275,a8434,J. Yin
2074610,p2437,a8434,J. Yin
66511259,p2048,a8435,R. Beckwith
145386345,p2048,a8436,Derek Gross
2715131,p2049,a8437,A. Heger
2715131,p2488,a8437,A. Heger
51938219,p2049,a8438,Joanne E. Pollington
51938219,p2488,a8438,Joanne E. Pollington
2073488557,p2049,a8439,O. L. Gavin
2073488557,p2488,a8439,O. L. Gavin
2074612851,p2049,a8440,Prasad Gunasekaran
